household_key,day,coupon_upc,campaign,campaign_type,start_day,end_day
139,598,52500010050,18,TypeA,587,642
139,621,51570011042,18,TypeA,587,642
139,621,57294010033,18,TypeA,587,642
143,455,10000085363,8,TypeA,412,460
143,514,54300020076,13,TypeA,504,551
143,514,55410000076,13,TypeA,504,551
156,524,55150026055,13,TypeA,504,551
156,591,53620064076,17,TypeB,575,607
158,443,52100000033,9,TypeB,435,467
164,597,10000085477,18,TypeA,587,642
164,597,10000089248,18,TypeA,587,642
164,597,51600030101,18,TypeA,587,642
164,597,51960010076,18,TypeA,587,642
164,597,57680000050,18,TypeA,587,642
164,634,53800050033,18,TypeA,587,642
165,287,53377610033,29,TypeB,281,334
165,428,10000085363,8,TypeA,412,460
184,514,10000085426,13,TypeA,504,551
184,514,10000089091,13,TypeA,504,551
184,514,53620010050,13,TypeA,504,551
184,516,54800111033,13,TypeA,504,551
192,611,54900050076,18,TypeA,587,642
192,669,54900050082,25,TypeB,659,691
196,590,10000085479,18,TypeA,587,642
196,590,54300026050,18,TypeA,587,642
196,590,55100055075,17,TypeB,575,607
196,590,55410000076,18,TypeA,587,642
196,590,57790030032,17,TypeB,575,607
208,427,55100090033,8,TypeA,412,460
208,597,51800015050,18,TypeA,587,642
208,597,51920021576,18,TypeA,587,642
208,601,55410000076,18,TypeA,587,642
208,606,10000085475,18,TypeA,587,642
208,654,51800000050,22,TypeB,624,656
214,439,51266950076,8,TypeA,412,460
215,529,52580010042,13,TypeA,504,551
215,529,58000075224,13,TypeA,504,551
222,415,10000089038,8,TypeA,412,460
232,421,55100012140,8,TypeA,412,460
239,332,51111037250,30,TypeA,323,369
239,332,52100026076,30,TypeA,323,369
239,346,54460000050,30,TypeA,323,369
239,348,54589300078,30,TypeA,323,369
239,361,51111074175,2,TypeB,351,383
239,363,52586611376,30,TypeA,323,369
239,413,10000089012,8,TypeA,412,460
239,416,10000085364,8,TypeA,412,460
239,416,54300031076,8,TypeA,412,460
239,511,52740022050,13,TypeA,504,551
239,532,51111113178,13,TypeA,504,551
239,603,10000089266,18,TypeA,587,642
239,603,53700026850,18,TypeA,587,642
239,654,54132220050,22,TypeB,624,656
243,417,10000085361,8,TypeA,412,460
243,417,10000089023,8,TypeA,412,460
243,417,54154888076,8,TypeA,412,460
243,521,10000085427,13,TypeA,504,551
248,228,50930030075,26,TypeA,224,264
248,228,51111008650,26,TypeA,224,264
248,228,51111071124,26,TypeA,224,264
248,228,51111078555,26,TypeA,224,264
248,228,51800000033,26,TypeA,224,264
248,228,54180000033,26,TypeA,224,264
249,510,52840050076,13,TypeA,504,551
251,597,10000085479,18,TypeA,587,642
251,597,57332150033,18,TypeA,587,642
256,243,54589314178,26,TypeA,224,264
256,429,10000085361,8,TypeA,412,460
256,439,10000085369,8,TypeA,412,460
256,507,10000085426,13,TypeA,504,551
256,507,10000089136,13,TypeA,504,551
256,507,57047091041,13,TypeA,504,551
256,533,51111113178,13,TypeA,504,551
256,533,51980010075,13,TypeA,504,551
256,533,51981012076,13,TypeA,504,551
256,533,52840042034,13,TypeA,504,551
256,533,54100027032,13,TypeA,504,551
256,533,54100027032,14,TypeC,531,596
256,579,50099700082,16,TypeB,561,593
256,592,10000085478,18,TypeA,587,642
256,592,50052110076,14,TypeC,531,596
256,592,51800015050,18,TypeA,587,642
256,592,52200090076,18,TypeA,587,642
256,592,53500000076,16,TypeB,561,593
256,592,53700048076,16,TypeB,561,593
256,592,54589314175,14,TypeC,531,596
256,592,54900050076,18,TypeA,587,642
256,592,57418211676,16,TypeB,561,593
256,606,10000085484,18,TypeA,587,642
256,606,52100023024,18,TypeA,587,642
256,606,54280011660,17,TypeB,575,607
256,606,57143020076,18,TypeA,587,642
256,638,51111120076,20,TypeC,615,685
256,638,51312010033,22,TypeB,624,656
256,638,51800000050,22,TypeB,624,656
256,638,54589399275,20,TypeC,615,685
256,638,57045970076,22,TypeB,624,656
256,678,54900050082,25,TypeB,659,691
256,678,57192110076,25,TypeB,659,691
262,431,50800490036,8,TypeA,412,460
276,437,10000085361,8,TypeA,412,460
279,421,10000085363,8,TypeA,412,460
282,464,10000085378,9,TypeB,435,467
282,464,53700060051,9,TypeB,435,467
282,464,54300026033,9,TypeB,435,467
282,464,57064021233,9,TypeB,435,467
282,533,53620064076,13,TypeA,504,551
282,533,57265526076,13,TypeA,504,551
283,603,51800050033,17,TypeB,575,607
283,603,53620064076,17,TypeB,575,607
283,603,54280011660,17,TypeB,575,607
294,262,51600070033,26,TypeA,224,264
294,262,53600030082,26,TypeA,224,264
294,262,54369530042,26,TypeA,224,264
294,424,10000085361,8,TypeA,412,460
294,425,50800490078,8,TypeA,412,460
294,437,54154889078,8,TypeA,412,460
294,536,10000085425,13,TypeA,504,551
294,536,51600050042,13,TypeA,504,551
294,536,56414410013,13,TypeA,504,551
294,549,57320210076,13,TypeA,504,551
305,594,57332150033,18,TypeA,587,642
305,608,10000085477,18,TypeA,587,642
306,414,10000089053,8,TypeA,412,460
306,414,53500029075,8,TypeA,412,460
306,414,54300031076,8,TypeA,412,460
306,420,10000085361,8,TypeA,412,460
307,414,10000089012,8,TypeA,412,460
307,606,53160401082,18,TypeA,587,642
318,531,10000085429,13,TypeA,504,551
318,531,51111113178,13,TypeA,504,551
318,531,51780061082,13,TypeA,504,551
321,446,10000089064,9,TypeB,435,467
321,446,52840042077,9,TypeB,435,467
324,259,57127920076,26,TypeA,224,264
334,231,54369530042,26,TypeA,224,264
334,231,57756765876,26,TypeA,224,264
334,256,51380061733,26,TypeA,224,264
334,545,10000085426,13,TypeA,504,551
334,545,51254711082,13,TypeA,504,551
334,545,57047091041,13,TypeA,504,551
345,626,51600070033,18,TypeA,587,642
346,508,10000089111,13,TypeA,504,551
351,505,10000085429,13,TypeA,504,551
351,505,52740022050,13,TypeA,504,551
351,605,53700048182,19,TypeB,603,635
353,422,10000085363,8,TypeA,412,460
353,596,10000085475,18,TypeA,587,642
354,415,10000085364,8,TypeA,412,460
354,415,10000085366,8,TypeA,412,460
354,520,52016910055,13,TypeA,504,551
361,510,52927461001,13,TypeA,504,551
361,510,55410000076,13,TypeA,504,551
361,542,52840011033,13,TypeA,504,551
361,542,54200000076,13,TypeA,504,551
361,609,10000085478,18,TypeA,587,642
361,609,51200000076,18,TypeA,587,642
362,330,51111070124,30,TypeA,323,369
362,330,52586611376,30,TypeA,323,369
367,232,54900000032,26,TypeA,224,264
367,330,51116200076,30,TypeA,323,369
367,338,10000085320,30,TypeA,323,369
367,338,51111074232,30,TypeA,323,369
367,338,54850011076,30,TypeA,323,369
367,344,54154888076,30,TypeA,323,369
367,358,52300021041,30,TypeA,323,369
367,438,53700020076,8,TypeA,412,460
367,438,53800050033,8,TypeA,412,460
367,438,53800050033,9,TypeB,435,467
367,438,57800000033,8,TypeA,412,460
367,444,10000085361,8,TypeA,412,460
367,444,10000089048,8,TypeA,412,460
367,444,54154888076,8,TypeA,412,460
367,444,57192117133,8,TypeA,412,460
367,450,51380041309,9,TypeB,435,467
367,505,54100024950,13,TypeA,504,551
367,535,10000089134,13,TypeA,504,551
367,535,54154888076,13,TypeA,504,551
367,541,10000085428,13,TypeA,504,551
367,596,10000085477,18,TypeA,587,642
367,596,53800030050,17,TypeB,575,607
367,596,57680000050,18,TypeA,587,642
367,596,57756765034,17,TypeB,575,607
367,604,51800015050,18,TypeA,587,642
367,604,52113100033,18,TypeA,587,642
367,604,53450058040,17,TypeB,575,607
367,632,10000089251,18,TypeA,587,642
367,632,51116200076,18,TypeA,587,642
367,632,51600070033,18,TypeA,587,642
367,647,54800110055,20,TypeC,615,685
367,660,54900050082,25,TypeB,659,691
367,673,51200000009,25,TypeB,659,691
367,680,51090044076,25,TypeB,659,691
367,680,54116500036,25,TypeB,659,691
378,241,55150054075,26,TypeA,224,264
378,458,53600000078,8,TypeA,412,460
378,460,10000085363,8,TypeA,412,460
378,508,57127930075,13,TypeA,504,551
378,540,57680810050,13,TypeA,504,551
378,545,52840011033,13,TypeA,504,551
378,593,52100023024,18,TypeA,587,642
378,610,10000085478,18,TypeA,587,642
378,610,57124960082,18,TypeA,587,642
383,439,53600000078,8,TypeA,412,460
387,517,10000085429,13,TypeA,504,551
389,420,57127900036,8,TypeA,412,460
389,442,10000085361,8,TypeA,412,460
389,504,10000085426,13,TypeA,504,551
389,504,10000089093,13,TypeA,504,551
389,538,10000085432,13,TypeA,504,551
389,538,51600070033,13,TypeA,504,551
389,538,51960010076,13,TypeA,504,551
389,538,51960060050,13,TypeA,504,551
389,538,54300020076,13,TypeA,504,551
389,539,10000089093,13,TypeA,504,551
389,582,53620064076,17,TypeB,575,607
389,582,54440020076,17,TypeB,575,607
389,596,10000085476,18,TypeA,587,642
389,609,52000030042,18,TypeA,587,642
389,609,52113100033,18,TypeA,587,642
389,609,54060060076,18,TypeA,587,642
389,609,54300026050,18,TypeA,587,642
389,625,54900050076,18,TypeA,587,642
389,653,54060060033,23,TypeB,646,684
389,656,53000000036,23,TypeB,646,684
389,665,55100000033,23,TypeB,646,684
389,671,51200000076,23,TypeB,646,684
389,686,57192110076,25,TypeB,659,691
393,416,57910012076,8,TypeA,412,460
397,415,10000085364,8,TypeA,412,460
397,415,57214010082,8,TypeA,412,460
397,510,10000085429,13,TypeA,504,551
397,510,53800050033,13,TypeA,504,551
397,510,54300020076,13,TypeA,504,551
397,510,54369530009,13,TypeA,504,551
397,639,56687861776,18,TypeA,587,642
400,683,52840000033,25,TypeB,659,691
400,683,54900050082,25,TypeB,659,691
400,683,57192110076,25,TypeB,659,691
400,683,57797520075,25,TypeB,659,691
412,531,10000089128,13,TypeA,504,551
412,531,51952131178,13,TypeA,504,551
412,531,54154888076,13,TypeA,504,551
412,531,58000075224,13,TypeA,504,551
413,606,53700013182,18,TypeA,587,642
413,609,10000085476,18,TypeA,587,642
421,453,10000085364,8,TypeA,412,460
426,420,53010010033,8,TypeA,412,460
426,420,57064021233,8,TypeA,412,460
426,443,10000089020,8,TypeA,412,460
426,526,10000085429,13,TypeA,504,551
426,536,54610000075,13,TypeA,504,551
426,538,51116221076,13,TypeA,504,551
426,617,10000085475,18,TypeA,587,642
426,617,10000089250,18,TypeA,587,642
426,617,52000030042,18,TypeA,587,642
426,635,51116200076,18,TypeA,587,642
426,635,51800015050,18,TypeA,587,642
437,337,57023000076,30,TypeA,323,369
437,625,51500050033,19,TypeB,603,635
438,593,10000085475,18,TypeA,587,642
438,620,54200029176,18,TypeA,587,642
443,467,52100000033,9,TypeB,435,467
443,467,54300026033,9,TypeB,435,467
454,457,57910012076,8,TypeA,412,460
458,511,10000089124,13,TypeA,504,551
458,516,10000085432,13,TypeA,504,551
458,606,10000089266,18,TypeA,587,642
458,606,52100023024,18,TypeA,587,642
460,616,54060060076,18,TypeA,587,642
463,627,10000085475,18,TypeA,587,642
464,241,51111074642,26,TypeA,224,264
464,258,52100026076,26,TypeA,224,264
464,377,51111540076,4,TypeB,372,404
464,506,50800490076,13,TypeA,504,551
464,515,10000085428,13,TypeA,504,551
464,515,51111113178,13,TypeA,504,551
464,589,54800140060,14,TypeC,531,596
464,600,54800111033,18,TypeA,587,642
464,620,54800110055,20,TypeC,615,685
464,634,52100000031,22,TypeB,624,656
469,506,10000085429,13,TypeA,504,551
469,593,10000085475,18,TypeA,587,642
469,593,52500010050,18,TypeA,587,642
469,593,54900050076,18,TypeA,587,642
469,593,57631000076,18,TypeA,587,642
472,516,10000085425,13,TypeA,504,551
472,516,51600040033,13,TypeA,504,551
472,516,51600070033,13,TypeA,504,551
472,516,51700010076,13,TypeA,504,551
472,516,53700061076,13,TypeA,504,551
472,516,54000016333,13,TypeA,504,551
472,516,54154888076,13,TypeA,504,551
472,516,54180010033,13,TypeA,504,551
472,516,54200000076,13,TypeA,504,551
472,516,57033030076,13,TypeA,504,551
472,557,54589399276,14,TypeC,531,596
473,605,10000089244,18,TypeA,587,642
473,605,10000089272,18,TypeA,587,642
473,605,52840001082,18,TypeA,587,642
484,614,55480017133,18,TypeA,587,642
484,614,57143020076,18,TypeA,587,642
485,633,51800000050,22,TypeB,624,656
485,633,52100000031,22,TypeB,624,656
490,430,52370020076,8,TypeA,412,460
490,523,51113240013,13,TypeA,504,551
490,523,51600040033,13,TypeA,504,551
490,523,54369530009,13,TypeA,504,551
490,523,56414410013,13,TypeA,504,551
490,607,10000085477,18,TypeA,587,642
490,607,51800015050,18,TypeA,587,642
492,521,10000085425,13,TypeA,504,551
492,620,10000085475,18,TypeA,587,642
492,620,54200029176,18,TypeA,587,642
503,530,10000085425,13,TypeA,504,551
503,530,51600070033,13,TypeA,504,551
503,530,52898920076,13,TypeA,504,551
518,431,10000085363,8,TypeA,412,460
518,431,10000085369,8,TypeA,412,460
518,518,51981012076,13,TypeA,504,551
518,606,10000085478,18,TypeA,587,642
518,606,52113100033,18,TypeA,587,642
523,594,10000085477,18,TypeA,587,642
545,459,10000085361,8,TypeA,412,460
545,459,50800490078,8,TypeA,412,460
545,459,53600000078,8,TypeA,412,460
545,459,55100012140,8,TypeA,412,460
545,610,50581447025,18,TypeA,587,642
545,610,53010010033,18,TypeA,587,642
545,638,10000085477,18,TypeA,587,642
546,600,10000085477,18,TypeA,587,642
546,600,10000089240,18,TypeA,587,642
560,554,51111124078,14,TypeC,531,596
560,585,53620010028,14,TypeC,531,596
560,585,54800140060,14,TypeC,531,596
573,415,10000085364,8,TypeA,412,460
573,415,55000013033,8,TypeA,412,460
573,415,57910012076,8,TypeA,412,460
574,417,10000085361,8,TypeA,412,460
574,417,10000089018,8,TypeA,412,460
574,417,53810077076,8,TypeA,412,460
574,426,55100012140,8,TypeA,412,460
574,433,53800050033,8,TypeA,412,460
574,459,10000085368,8,TypeA,412,460
574,459,54300080075,8,TypeA,412,460
574,468,10000085370,10,TypeB,463,495
574,474,55220010013,10,TypeB,463,495
574,551,10000089106,13,TypeA,504,551
574,551,53620064076,13,TypeA,504,551
574,593,10000089285,18,TypeA,587,642
574,607,51500050033,19,TypeB,603,635
574,607,55220010013,19,TypeB,603,635
574,628,51500050013,19,TypeB,603,635
574,634,53700048182,19,TypeB,603,635
574,662,52100023030,25,TypeB,659,691
574,663,54900050082,25,TypeB,659,691
574,676,51200000009,25,TypeB,659,691
574,683,52100023030,25,TypeB,659,691
574,683,54900050082,25,TypeB,659,691
574,683,57797520075,25,TypeB,659,691
574,691,52900020076,25,TypeB,659,691
574,691,57192110076,25,TypeB,659,691
574,691,58768484040,25,TypeB,659,691
577,545,54300020076,13,TypeA,504,551
581,449,52840031033,8,TypeA,412,460
588,339,52100000076,30,TypeA,323,369
588,339,52100041013,30,TypeA,323,369
588,348,10000085320,30,TypeA,323,369
588,436,10000085363,8,TypeA,412,460
588,436,10000089045,8,TypeA,412,460
588,436,10000089046,8,TypeA,412,460
588,436,51312010033,8,TypeA,412,460
588,451,55100012140,8,TypeA,412,460
588,514,10000089106,13,TypeA,504,551
588,514,10000089113,13,TypeA,504,551
588,514,51600050042,13,TypeA,504,551
588,514,53620010050,13,TypeA,504,551
588,549,54650050060,13,TypeA,504,551
588,591,10000085478,18,TypeA,587,642
588,591,53620010028,14,TypeC,531,596
588,591,53700013182,18,TypeA,587,642
588,591,54100027032,14,TypeC,531,596
588,591,54589399250,14,TypeC,531,596
588,591,57143020076,18,TypeA,587,642
588,618,51800015050,18,TypeA,587,642
588,618,53700048182,19,TypeB,603,635
588,633,52100023024,18,TypeA,587,642
596,504,10000085425,13,TypeA,504,551
600,506,51600070033,13,TypeA,504,551
600,506,51960060050,13,TypeA,504,551
600,559,54589399276,14,TypeC,531,596
600,584,53620010028,14,TypeC,531,596
600,675,53620010028,20,TypeC,615,685
605,427,10000085361,8,TypeA,412,460
605,469,10000085370,10,TypeB,463,495
605,469,53700048182,10,TypeB,463,495
605,474,53700048182,10,TypeB,463,495
605,482,50813713084,10,TypeB,463,495
605,535,55150026055,13,TypeA,504,551
605,606,10000085478,18,TypeA,587,642
605,606,56687861776,18,TypeA,587,642
630,424,10000085364,8,TypeA,412,460
630,439,54154888076,8,TypeA,412,460
630,507,10000085425,13,TypeA,504,551
630,507,52840011033,13,TypeA,504,551
630,521,53620010050,13,TypeA,504,551
630,600,10000085479,18,TypeA,587,642
630,600,10000089252,18,TypeA,587,642
631,606,10000085475,18,TypeA,587,642
636,533,54100027032,13,TypeA,504,551
636,533,54100027032,14,TypeC,531,596
636,533,54589399250,14,TypeC,531,596
636,619,57332150033,18,TypeA,587,642
641,559,54589399276,14,TypeC,531,596
647,415,10000085363,8,TypeA,412,460
647,415,10000089047,8,TypeA,412,460
647,439,53600000078,8,TypeA,412,460
647,606,55000013950,18,TypeA,587,642
650,507,52100040050,13,TypeA,504,551
679,418,52740020076,8,TypeA,412,460
679,509,10000085428,13,TypeA,504,551
679,509,57631000076,13,TypeA,504,551
679,511,53010030033,13,TypeA,504,551
680,417,53010010033,8,TypeA,412,460
680,456,10000085363,8,TypeA,412,460
681,326,54460000050,30,TypeA,323,369
681,333,53620010050,30,TypeA,323,369
681,333,54740018078,30,TypeA,323,369
687,617,10000085479,18,TypeA,587,642
687,617,10000089290,18,TypeA,587,642
687,617,54850010033,18,TypeA,587,642
687,630,51800015050,18,TypeA,587,642
687,630,51960010076,18,TypeA,587,642
692,422,10000085363,8,TypeA,412,460
692,592,54060060076,18,TypeA,587,642
692,600,10000085475,18,TypeA,587,642
696,541,10000089125,13,TypeA,504,551
696,541,53663250076,13,TypeA,504,551
696,541,53700040075,13,TypeA,504,551
696,541,54300020076,13,TypeA,504,551
699,337,52100026076,30,TypeA,323,369
702,427,10000085364,8,TypeA,412,460
702,508,10000085427,13,TypeA,504,551
702,508,10000089106,13,TypeA,504,551
702,508,52100040050,13,TypeA,504,551
703,509,10000085429,13,TypeA,504,551
703,509,51480000076,13,TypeA,504,551
703,509,51600070033,13,TypeA,504,551
703,509,54300020076,13,TypeA,504,551
703,509,54800111033,13,TypeA,504,551
709,617,54589399255,20,TypeC,615,685
712,291,51380041013,29,TypeB,281,334
712,291,54300016033,29,TypeB,281,334
712,508,10000085426,13,TypeA,504,551
712,539,53700040075,13,TypeA,504,551
712,539,54100024950,13,TypeA,504,551
712,545,51600070033,13,TypeA,504,551
712,629,10000085475,18,TypeA,587,642
712,629,54060060076,18,TypeA,587,642
712,629,54300026050,18,TypeA,587,642
712,629,54900050076,18,TypeA,587,642
715,597,57631000076,18,TypeA,587,642
716,527,10000085425,13,TypeA,504,551
716,527,53663250076,13,TypeA,504,551
718,239,51111074242,26,TypeA,224,264
718,283,53620010028,27,TypeC,237,300
718,351,51111070124,30,TypeA,323,369
718,494,53600000082,10,TypeB,463,495
718,600,55703711082,18,TypeA,587,642
725,533,10000085427,13,TypeA,504,551
725,533,10000089124,13,TypeA,504,551
725,533,53620010050,13,TypeA,504,551
725,533,55410000076,13,TypeA,504,551
725,533,56414410013,13,TypeA,504,551
740,598,10000085475,18,TypeA,587,642
740,598,10000089284,18,TypeA,587,642
745,585,53450058040,17,TypeB,575,607
745,655,57027211076,23,TypeB,646,684
755,529,10000085425,13,TypeA,504,551
755,529,10000089137,13,TypeA,504,551
755,529,52100040050,13,TypeA,504,551
755,529,52580010042,13,TypeA,504,551
755,529,53010030033,13,TypeA,504,551
755,529,54154888076,13,TypeA,504,551
755,635,10000085475,18,TypeA,587,642
755,635,51111120001,18,TypeA,587,642
755,635,51862700076,18,TypeA,587,642
755,635,52800051098,18,TypeA,587,642
755,635,54060060076,18,TypeA,587,642
755,635,54200029176,18,TypeA,587,642
761,639,51312010033,22,TypeB,624,656
